vegetation_id,block_id,hazard_condition,status,voltage,h_conductor,x_distance,pole_from,pole_to,longitude,latitude,las_id,F3d_clearance,vegetation_height,floc_id,circuit_name,flight_date
0548300101,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,27.38,15.92,2162114E,2138069E,-116.9119669,33.90570663,Dysart-GEO1-20210408,-19.49,51,ED-05483,DYSART,20210408
0548300102,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,30.59,11.48,2210858E,2210857E,-116.9280771,33.9119987,Dysart-GEO1-20210408,-19.24,49.79,ED-05483,DYSART,20210408
0548300103,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,32.8,13.25,2210850E,2210849E,-116.9249621,33.90747278,Dysart-GEO1-20210408,-19.22,51.98,ED-05483,DYSART,20210408
0548300104,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,33,14.52,2210858E,2210859E,-116.928538,33.91234748,Dysart-GEO1-20210408,-19.21,54.2,ED-05483,DYSART,20210408
0548300105,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,33.9,7.29,456036S,2033685E,-116.9161858,33.8937702,Dysart-GEO1-20210408,-19.06,55.57,ED-05483,DYSART,20210408
0548300106,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,29.93,14.66,2210838E,4704525E,-116.9181196,33.90342613,Dysart-GEO1-20210408,-19.05,52.93,ED-05483,DYSART,20210408
0548300107,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,26.2,21.59,4467341E,2138063E,-116.9066901,33.90691601,Dysart-GEO1-20210408,-19.03,51.37,ED-05483,DYSART,20210408
0548300108,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,36.57,10.95,2293466E,2293465E,-116.9083421,33.90571882,Dysart-GEO1-20210408,-19.02,57.52,ED-05483,DYSART,20210408
0548300109,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,34.39,14.05,2210852E,2210850E,-116.9249771,33.90766147,Dysart-GEO1-20210408,-19,55.81,ED-05483,DYSART,20210408
0548300110,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,37.04,18.99,1806217E,10223,-116.9173063,33.90251537,Dysart-GEO1-20210408,-18.92,59.08,ED-05483,DYSART,20210408
0548300111,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,36.63,15.11,2210852E,2210850E,-116.9249695,33.90756862,Dysart-GEO1-20210408,-18.86,56.2,ED-05483,DYSART,20210408
0548300112,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,33.39,20.55,4467342E,4467343E,-116.9062763,33.90682672,Dysart-GEO1-20210408,-18.83,56.58,ED-05483,DYSART,20210408
0548300113,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,28.63,22.43,2138070E,GT124509,-116.9113962,33.90505323,Dysart-GEO1-20210408,-18.8,52,ED-05483,DYSART,20210408
0548300114,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,27.79,30.8,2138070E,GT124509,-116.9113686,33.90507352,Dysart-GEO1-20210408,-18.68,56.6,ED-05483,DYSART,20210408
0548300115,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,39.32,14.68,4016233E,4016234E,-116.922654,33.89994703,Dysart-GEO1-20210408,-18.55,60.63,ED-05483,DYSART,20210408
0548300116,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,33.31,21.7,2210852E,2210850E,-116.9250101,33.90772547,Dysart-GEO1-20210408,-18.54,60.96,ED-05483,DYSART,20210408
0548300117,,Fall,Fall-in <= 0 ft and greater than -20 ft,12KV,31.94,23.56,2190240E,2190242E,-116.9096026,33.90979653,Dysart-GEO1-20210408,-18.43,59.21,ED-05483,DYSART,20210408
