VEG_ID,LONGITUDE,LATITUDE,ELEV,HEIGHT,AVG_SPREAD,MAX_SPREAD,TREE_SPECIES,LAST_TRIMMED
344,-117.928035,33.80520972,151.61,24.71,17.39,19.03,Queen palm,9/11/21
345,-117.915964,33.80536715,165.78,31,18.37,19.03,Mexican fan palm,9/11/21
346,-117.928120,33.80520079,159.8,33.3,18.7,20.34,Carrotwood,9/11/21
347,-117.915998,33.80535382,164.68,30.2,21.65,43.96,Dwarf fig tree,9/11/21
348,-117.915534,33.80535845,181.73,47.11,22.64,53.81,Western sycamore,9/11/21
349,-117.915290,33.80535507,185.61,51.52,26.25,53.81,Western sycamore,9/11/21
350,-117.928141,33.80517186,159.87,33.17,18.7,20.34,California palm,9/11/21
351,-117.928330,33.80515518,161.34,35.6,18.37,19.03,Queen palm,9/11/21
352,-117.928038,33.80515184,150.98,23.97,18.7,30.18,Mexican fan palm,9/11/21
353,-117.915667,33.80531371,158.65,23.12,18.37,19.03,Western sycamore,9/11/21
354,-117.915980,33.80530564,167.85,33.2,18.04,19.36,California palm,9/11/21
355,-117.915701,33.8053098,158.52,23.23,19.03,23.95,Queen palm,9/11/21
356,-117.928123,33.80512219,160.09,33.2,18.37,19.03,Mexican fan palm,9/11/21
357,-117.928217,33.8051028,162.93,37.78,18.37,23.29,Carrotwood,9/11/21
358,-117.915313,33.80527171,187.7,53.69,18.37,19.69,Dwarf fig tree,9/11/21
359,-117.928440,33.80508892,153.01,28.1,18.37,19.03,Western sycamore,9/11/21
360,-117.915529,33.80526196,194.43,59.9,18.04,19.03,Western sycamore,9/11/21
361,-117.915679,33.80525629,157.8,22.42,18.37,19.03,California palm,9/11/21
362,-117.915954,33.8052423,164.52,30.16,18.37,19.03,Queen palm,9/11/21
363,-117.928333,33.80506139,161.4,36.01,18.37,19.03,Mexican fan palm,9/11/21
364,-117.928331,33.80502898,160.88,35.51,19.03,27.56,Carrotwood,9/11/21
365,-117.928236,33.8050235,154.66,29.57,18.04,21,Dwarf fig tree,9/11/21
366,-117.915956,33.80517032,161.46,27.34,18.37,19.03,Western sycamore,9/11/21
367,-117.915677,33.80516994,159.11,24.02,18.37,19.69,Western sycamore,9/11/21
368,-117.928048,33.80499347,147.94,20.3,19.03,27.23,California palm,9/11/21
369,-117.915304,33.80516525,183.94,50.23,20.01,43.64,Queen palm,9/11/21
370,-117.915192,33.80516014,181.36,48.12,17.06,18.37,Mexican fan palm,9/11/21
371,-117.915647,33.80514906,160.3,25.01,18.7,21.98,Carrotwood,9/11/21
372,-117.915677,33.80512307,160.08,24.96,18.7,22.31,Dwarf fig tree,9/11/21
373,-117.928107,33.80494988,152.73,25.49,18.37,19.03,Western sycamore,9/11/21
374,-117.928210,33.80493874,150.84,25.57,16.08,17.72,Western sycamore,9/11/21
375,-117.915319,33.80511007,185.26,51.29,19.69,23.62,California palm,9/11/21
376,-117.915938,33.80509484,166.12,31.58,19.03,22.97,Queen palm,9/11/21
377,-117.915281,33.80509321,185.88,52.19,18.37,19.03,Mexican fan palm,9/11/21
378,-117.928433,33.80491311,154.07,29.25,18.37,19.03,Carrotwood,9/11/21
379,-117.928321,33.80490732,146.82,21.27,18.37,19.03,Dwarf fig tree,9/11/21
380,-117.915197,33.80508365,183.8,50.68,16.73,19.03,Western sycamore,9/11/21
381,-117.915344,33.80507782,185.01,50.99,19.03,23.62,Western sycamore,9/11/21
382,-117.915507,33.80507209,188.8,54.9,18.37,19.03,California palm,9/11/21
383,-117.915472,33.80506542,188.02,54.94,18.37,19.03,Queen palm,9/11/21
384,-117.928475,33.80488741,152.91,27.5,18.37,19.03,Mexican fan palm,9/11/21
385,-117.915263,33.80506093,186.32,52.78,19.03,27.56,Western sycamore,9/11/21
386,-117.915679,33.80504848,156.59,21.81,18.37,19.03,California palm,9/11/21
387,-117.915300,33.80504621,185.6,51.57,19.69,27.56,Queen palm,9/11/21
