LONGITUDE,LATITUDE,ELEV,HEIGHT,AVG_SPREAD,MAX_SPREAD
-118.3703901,33.97043535,106.63,24.32,16.73,17.39
-118.3697178,33.97036873,119.48,26.70,14.76,16.08
-118.3696265,33.97033944,146.03,51.46,16.73,17.39
-118.370287,33.97027508,107.04,24.61,16.40,17.39
-118.3698351,33.9702405,109.85,21.75,16.40,24.93
-118.3704083,33.97023277,105.07,20.29,14.76,16.08
-118.3697549,33.97018845,177.22,86.78,16.73,17.39
-118.3703543,33.97018005,101.67,17.72,15.75,17.39
-118.369842,33.97016492,145.19,57.36,16.73,18.37
-118.3703533,33.9701376,103.36,18.57,16.08,18.37
-118.369673,33.97013276,120.59,28.24,15.09,16.08
-118.3703457,33.97010549,102.85,17.47,16.08,17.39
-118.3695435,33.97009424,123.08,27.70,14.76,16.08
-118.3703445,33.97007836,102.78,16.91,15.75,17.39
-118.3695512,33.97006753,120.34,25.63,15.42,18.70
-118.3703101,33.9700331,120.39,34.04,16.73,17.39
-118.3703526,33.96997052,104.70,16.91,18.04,31.50
-118.369716,33.96997211,110.13,17.40,14.11,15.42
-118.3703807,33.96994433,104.52,16.84,16.40,18.37
-118.3696394,33.96986739,160.76,60.39,16.73,17.39
-118.3700373,33.96985019,105.30,16.46,16.08,17.39
-118.3695523,33.96976605,130.80,26.78,14.44,16.08
-118.3696876,33.96975298,126.19,20.90,14.44,15.75
-118.3700292,33.96968626,113.04,19.51,16.73,17.39
-118.3705627,33.96963233,120.25,25.20,15.42,16.08
-118.3700169,33.96962749,119.96,24.19,16.73,17.39
-118.3705328,33.96961571,123.25,27.83,16.73,18.04
-118.3700283,33.96957121,122.96,27.03,16.40,17.39
-118.3697994,33.96950302,130.15,22.19,14.76,16.08
-118.3704093,33.96949464,122.61,26.71,17.06,18.70
-118.3703072,33.96942621,114.03,20.11,15.09,16.08
-118.3703507,33.96942277,115.98,21.48,16.40,17.39
-118.3700041,33.96941712,126.97,25.45,16.73,18.04
-118.3698392,33.96941778,128.90,21.26,18.37,37.40
-118.3698107,33.96941792,129.47,21.77,16.40,37.07
-118.3699332,33.96940767,129.95,22.99,16.73,20.67
-118.369855,33.96939574,130.12,22.93,16.73,17.39
-118.369917,33.96938477,130.69,24.06,16.73,18.04
